#           k/h    P           
   0.150440E+00   0.317067E+04
   0.152245E+00   0.308399E+04
   0.154049E+00   0.300082E+04
   0.155853E+00   0.292178E+04
   0.157657E+00   0.284733E+04
   0.159461E+00   0.277780E+04
   0.161266E+00   0.271338E+04
   0.163070E+00   0.265411E+04
   0.164874E+00   0.259993E+04
   0.166678E+00   0.255062E+04
   0.168483E+00   0.250595E+04
   0.170287E+00   0.246558E+04
   0.172091E+00   0.242907E+04
   0.173895E+00   0.239598E+04
   0.175699E+00   0.236578E+04
   0.177504E+00   0.233794E+04
   0.179308E+00   0.231188E+04
   0.181112E+00   0.228704E+04
   0.182916E+00   0.226290E+04
   0.184720E+00   0.223895E+04
   0.186525E+00   0.221479E+04
   0.188329E+00   0.219005E+04
   0.190133E+00   0.216441E+04
   0.191937E+00   0.213763E+04
   0.193741E+00   0.210955E+04
   0.195546E+00   0.208007E+04
   0.197350E+00   0.204918E+04
   0.199154E+00   0.201691E+04
   0.200958E+00   0.198341E+04
   0.202763E+00   0.194886E+04
   0.204567E+00   0.191349E+04
   0.206371E+00   0.187756E+04
   0.208175E+00   0.184134E+04
   0.209979E+00   0.180513E+04
   0.211784E+00   0.176920E+04
   0.213588E+00   0.173382E+04
   0.215392E+00   0.169924E+04
   0.217196E+00   0.166571E+04
   0.219000E+00   0.163344E+04
   0.220805E+00   0.160259E+04
   0.222609E+00   0.157329E+04
   0.224413E+00   0.154562E+04
   0.226217E+00   0.151962E+04
   0.228021E+00   0.149529E+04
   0.229826E+00   0.147258E+04
   0.231630E+00   0.145145E+04
   0.233434E+00   0.143180E+04
   0.235238E+00   0.141352E+04
   0.237043E+00   0.139646E+04
   0.238847E+00   0.138048E+04
   0.240651E+00   0.136540E+04
   0.242455E+00   0.135103E+04
   0.244259E+00   0.133722E+04
   0.246064E+00   0.132377E+04
   0.247868E+00   0.131055E+04
   0.249672E+00   0.129741E+04
   0.251476E+00   0.128422E+04
   0.253280E+00   0.127086E+04
   0.255085E+00   0.125726E+04
   0.256889E+00   0.124333E+04
   0.258693E+00   0.122903E+04
   0.260497E+00   0.121434E+04
   0.262301E+00   0.119926E+04
   0.264106E+00   0.118381E+04
   0.265910E+00   0.116804E+04
   0.267714E+00   0.115201E+04
   0.269518E+00   0.113579E+04
   0.271323E+00   0.111945E+04
   0.273127E+00   0.110307E+04
   0.274931E+00   0.108675E+04
   0.276735E+00   0.107056E+04
   0.278539E+00   0.105459E+04
   0.280344E+00   0.103893E+04
   0.282148E+00   0.102366E+04
   0.283952E+00   0.100882E+04
   0.285756E+00   0.994481E+03
   0.287560E+00   0.980671E+03
   0.289365E+00   0.967414E+03
   0.291169E+00   0.954724E+03
   0.292973E+00   0.942604E+03
   0.294777E+00   0.931047E+03
   0.296581E+00   0.920035E+03
   0.298386E+00   0.909543E+03
   0.300190E+00   0.899532E+03
   0.301994E+00   0.889959E+03
   0.303798E+00   0.880771E+03
   0.305603E+00   0.871914E+03
   0.307407E+00   0.863332E+03
   0.309211E+00   0.854975E+03
   0.311015E+00   0.846790E+03
   0.312819E+00   0.838728E+03
   0.314624E+00   0.830746E+03
   0.316428E+00   0.822801E+03
   0.318232E+00   0.814855E+03
   0.320036E+00   0.806878E+03
   0.321840E+00   0.798845E+03
   0.323645E+00   0.790741E+03
   0.325449E+00   0.782560E+03
   0.327253E+00   0.774302E+03
   0.329057E+00   0.765974E+03
   0.330861E+00   0.757585E+03
   0.332666E+00   0.749150E+03
   0.334470E+00   0.740688E+03
   0.336274E+00   0.732219E+03
   0.338078E+00   0.723767E+03
   0.339883E+00   0.715359E+03
   0.341687E+00   0.707022E+03
   0.343491E+00   0.698784E+03
   0.345295E+00   0.690670E+03
   0.347099E+00   0.682702E+03
