        omega_b       omega_cdm                 h          log(A_s)               n_s                 b              N
---------------  --------------  ----------------  ----------------  ----------------  ----------------  -------------
    3.45246e+08    -1.39703e+08      -3.14034e+07      -1.74347e+07      -1.11572e+07      -1.95831e+07  -4868.89
   -1.39703e+08     6.2571e+07        1.16331e+07       7.35116e+06       5.10349e+06       8.19262e+06   2106.1
   -3.14034e+07     1.16331e+07       3.11681e+06       1.57305e+06  884526                 1.78225e+06    418.031
   -1.74347e+07     7.35116e+06       1.57305e+06  924159            562155                 1.03634e+06    247.802
   -1.11572e+07     5.10349e+06  884526            562155            466210            628495              183.633
   -1.95831e+07     8.19262e+06       1.78225e+06       1.03634e+06  628495                 1.1849e+06     287.885
-4868.89         2106.1             418.031           247.802           183.633           287.885            0.0824286
