  k [h/Mpc]      delta b
 0.0552242   0.00178414
 0.0554154   0.00177692
 0.0556066   0.00176974
 0.0557978   0.00176261
 0.055989    0.00175552
 0.0561802   0.00174848
 0.0563714   0.00174148
 0.0565626   0.00173453
 0.0567538   0.00172763
 0.0569449   0.00172077
 0.0571361   0.00171396
 0.0573273   0.00170719
 0.0575185   0.00170047
 0.0577097   0.00169379
 0.0579009   0.00168716
 0.0580921   0.00168057
 0.0582833   0.00167403
 0.0584745   0.00166753
 0.0586657   0.00166108
 0.0588569   0.00165468
 0.059048    0.00164832
 0.0592392   0.00164201
 0.0594304   0.00163574
 0.0596216   0.00162952
 0.0598128   0.00162334
 0.060004    0.00161721
 0.0601952   0.00161112
 0.0603864   0.00160508
 0.0605776   0.00159909
 0.0607688   0.00159313
 0.06096     0.00158723
 0.0611512   0.00158137
 0.0613423   0.00157555
 0.0615335   0.00156978
 0.0617247   0.00156406
 0.0619159   0.00155838
 0.0621071   0.00155274
 0.0622983   0.00154715
 0.0624895   0.00154161
 0.0626807   0.00153611
 0.0628719   0.00153065
 0.0630631   0.00152524
 0.0632543   0.00151988
 0.0634454   0.00151455
 0.0636366   0.00150928
 0.0638278   0.00150405
 0.064019    0.00149886
 0.0642102   0.00149371
 0.0644014   0.00148861
 0.0645926   0.00148356
 0.0647838   0.00147855
 0.064975    0.00147358
 0.0651662   0.00146865
 0.0653574   0.00146377
 0.0655485   0.00145893
 0.0657397   0.00145414
 0.0659309   0.00144939
 0.0661221   0.00144468
 0.0663133   0.00144001
 0.0665045   0.00143539
 0.0666957   0.0014308
 0.0668869   0.00142626
 0.0670781   0.00142177
 0.0672693   0.00141731
 0.0674605   0.0014129
 0.0676517   0.00140853
 0.0678428   0.00140419
 0.068034    0.0013999
 0.0682252   0.00139566
 0.0684164   0.00139145
 0.0686076   0.00138728
 0.0687988   0.00138316
 0.06899     0.00137907
 0.0691812   0.00137502
 0.0693724   0.00137102
 0.0695636   0.00136705
 0.0697548   0.00136313
