  k [h/Mpc]    covariance [h/Mpc]^5
 0.0504795              0.0109939
 0.0506757              0.0111471
 0.0508719              0.0113002
 0.0510681              0.0114534
 0.0512643              0.0116065
 0.0514605              0.0117597
 0.0516567              0.0119128
 0.0518529              0.012066
 0.052049               0.0122191
 0.0522452              0.0123723
 0.0524414              0.0125254
 0.0526376              0.0126786
 0.0528338              0.0128318
 0.05303                0.0129849
 0.0532262              0.0131477
 0.0534224              0.0133146
 0.0536186              0.0134815
 0.0538148              0.0136485
 0.054011               0.0138154
 0.0542072              0.0139823
 0.0544034              0.0141493
 0.0545996              0.0143162
 0.0547958              0.0144832
 0.054992               0.0146501
 0.0551882              0.014817
 0.0553844              0.014984
 0.0555806              0.0151509
 0.0557768              0.0153179
 0.055973               0.0154935
 0.0561692              0.0156768
 0.0563654              0.0158601
 0.0565616              0.0160434
 0.0567578              0.0162267
 0.056954               0.01641
 0.0571502              0.0165933
 0.0573463              0.0167766
 0.0575425              0.0169599
 0.0577387              0.0171431
 0.0579349              0.0173264
 0.0581311              0.0175097
 0.0583273              0.017693
 0.0585235              0.0178763
 0.0587197              0.0180596
 0.0589159              0.0182565
 0.0591121              0.0184614
 0.0593083              0.0186663
 0.0595045              0.0188712
 0.0597007              0.0190761
 0.0598969              0.0192811
 0.0600931              0.019486
 0.0602893              0.0196909
 0.0604855              0.0198958
 0.0606817              0.0201007
 0.0608779              0.0203056
 0.0610741              0.0205105
 0.0612703              0.0207154
 0.0614665              0.0209203
 0.0616627              0.0211252
 0.0618589              0.0213301
 0.0620551              0.021564
 0.0622513              0.0217996
 0.0624474              0.0220351
 0.0626436              0.0222706
 0.0628398              0.0225061
 0.063036               0.0227416
 0.0632322              0.0229772
 0.0634284              0.0232127
 0.0636246              0.0234482
 0.0638208              0.0236837
 0.064017               0.0239193
 0.0642132              0.0241548
 0.0644094              0.0243903
 0.0646056              0.0246258
 0.0648018              0.0248613
 0.064998               0.0250969
 0.0651942              0.0253521
 0.0653904              0.0256322
 0.0655866              0.0259123
 0.0657828              0.0261924
 0.065979               0.0264725
 0.0661752              0.0267526
 0.0663714              0.0270327
 0.0665676              0.0273128
 0.0667638              0.0275929
 0.06696                0.027873
 0.0671562              0.0281531
 0.0673524              0.0284332
 0.0675485              0.0287133
 0.0677447              0.0289934
 0.0679409              0.0292735
 0.0681371              0.0295536
 0.0683333              0.0298337
 0.0685295              0.0301186
 0.0687257              0.0304636
 0.0689219              0.0308086
 0.0691181              0.0311535
 0.0693143              0.0314985
 0.0695105              0.0318435
 0.0697067              0.0321884
 0.0699029              0.0325334
 0.0700991              0.0328783
 0.0702953              0.0332233
 0.0704915              0.0335683
 0.0706877              0.0339132
 0.0708839              0.0342582
 0.0710801              0.0346031
 0.0712763              0.0349481
 0.0714725              0.0352931
 0.0716687              0.035638
 0.0718649              0.035983
 0.0720611              0.0363279
 0.0722573              0.0367469
 0.0724535              0.0371844
 0.0726496              0.037622
 0.0728458              0.0380596
 0.073042               0.0384972
 0.0732382              0.0389348
 0.0734344              0.0393723
 0.0736306              0.0398099
 0.0738268              0.0402475
 0.074023               0.0406851
 0.0742192              0.0411227
 0.0744154              0.0415602
 0.0746116              0.0419978
 0.0748078              0.0424354
 0.075004               0.042873
 0.0752002              0.0433106
 0.0753964              0.0437482
 0.0755926              0.0441857
 0.0757888              0.0446233
 0.075985               0.0451341
 0.0761812              0.0457012
 0.0763774              0.0462683
 0.0765736              0.0468353
 0.0767698              0.0474024
 0.076966               0.0479695
 0.0771622              0.0485365
 0.0773584              0.0491036
 0.0775546              0.0496707
 0.0777508              0.0502378
 0.0779469              0.0508048
 0.0781431              0.0513719
 0.0783393              0.051939
 0.0785355              0.052506
 0.0787317              0.0530731
 0.0789279              0.0536402
 0.0791241              0.0542073
 0.0793203              0.0547743
 0.0795165              0.0553414
 0.0797127              0.0559085
 0.0799089              0.056532
 0.0801051              0.0572723
 0.0803013              0.0580127
 0.0804975              0.058753
 0.0806937              0.0594934
 0.0808899              0.0602337
 0.0810861              0.0609741
 0.0812823              0.0617144
 0.0814785              0.0624548
 0.0816747              0.0631951
 0.0818709              0.0639355
 0.0820671              0.0646758
 0.0822633              0.0654162
 0.0824595              0.0661565
 0.0826557              0.0668969
 0.0828519              0.0676372
 0.083048               0.0683776
 0.0832442              0.0691179
 0.0834404              0.0698583
 0.0836366              0.0705987
 0.0838328              0.071339
 0.084029               0.0720852
 0.0842252              0.073045
 0.0844214              0.0740048
 0.0846176              0.0749646
 0.0848138              0.0759244
 0.08501                0.0768842
 0.0852062              0.077844
 0.0854024              0.0788039
 0.0855986              0.0797637
 0.0857948              0.0807235
 0.085991               0.0816833
 0.0861872              0.0826431
 0.0863834              0.0836029
 0.0865796              0.0845627
 0.0867758              0.0855225
 0.086972               0.0864823
 0.0871682              0.0874421
 0.0873644              0.088402
 0.0875606              0.0893618
 0.0877568              0.0903216
 0.087953               0.0912814
 0.0881491              0.0922412
 0.0883453              0.093201
 0.0885415              0.0943161
 0.0887377              0.0955292
 0.0889339              0.0967424
 0.0891301              0.0979555
 0.0893263              0.0991687
 0.0895225              0.100382
 0.0897187              0.101595
 0.0899149              0.102808
 0.0901111              0.104021
 0.0903073              0.105235
 0.0905035              0.106448
 0.0906997              0.107661
 0.0908959              0.108874
 0.0910921              0.110087
 0.0912883              0.1113
 0.0914845              0.112513
 0.0916807              0.113727
 0.0918769              0.11494
 0.0920731              0.116153
 0.0922693              0.117366
 0.0924655              0.118579
 0.0926617              0.119792
 0.0928579              0.121006
 0.0930541              0.122225
 0.0932503              0.123691
 0.0934464              0.125157
 0.0936426              0.126623
 0.0938388              0.128089
 0.094035               0.129554
 0.0942312              0.13102
 0.0944274              0.132486
 0.0946236              0.133952
 0.0948198              0.135418
 0.095016               0.136883
 0.0952122              0.138349
 0.0954084              0.139815
 0.0956046              0.141281
 0.0958008              0.142747
 0.095997               0.144212
 0.0961932              0.145678
 0.0963894              0.147144
 0.0965856              0.14861
 0.0967818              0.150076
 0.096978               0.151541
 0.0971742              0.153007
 0.0973704              0.154473
 0.0975666              0.155939
 0.0977628              0.157405
 0.097959               0.158911
 0.0981552              0.160576
 0.0983514              0.162242
 0.0985475              0.163907
 0.0987437              0.165572
 0.0989399              0.167237
 0.0991361              0.168903
 0.0993323              0.170568
 0.0995285              0.172233
 0.0997247              0.173898
 0.0999209              0.175564
 0.100117               0.177229
 0.100313               0.178894
 0.10051                0.180559
 0.100706               0.182225
 0.100902               0.18389
 0.101098               0.185555
 0.101294               0.18722
 0.10149                0.188886
 0.101687               0.190551
 0.101883               0.192216
 0.102079               0.193881
 0.102275               0.195547
 0.102471               0.197212
 0.102668               0.198877
 0.102864               0.200542
 0.10306                0.202217
 0.103256               0.20399
 0.103452               0.205764
 0.103649               0.207538
 0.103845               0.209312
 0.104041               0.211086
 0.104237               0.212859
 0.104433               0.214633
 0.10463                0.216407
 0.104826               0.218181
 0.105022               0.219955
 0.105218               0.221728
 0.105414               0.223502
 0.105611               0.225276
 0.105807               0.22705
 0.106003               0.228823
 0.106199               0.230597
 0.106395               0.232371
 0.106592               0.234145
 0.106788               0.235919
 0.106984               0.237692
 0.10718                0.239466
 0.107376               0.24124
 0.107573               0.243014
 0.107769               0.244787
 0.107965               0.246561
 0.108161               0.248335
 0.108357               0.250109
 0.108554               0.251907
 0.10875                0.253721
 0.108946               0.255536
 0.109142               0.25735
 0.109338               0.259165
 0.109535               0.260979
 0.109731               0.262794
 0.109927               0.264608
 0.110123               0.266423
 0.110319               0.268237
 0.110516               0.270052
 0.110712               0.271866
 0.110908               0.273681
 0.111104               0.275495
 0.1113                 0.27731
 0.111496               0.279124
 0.111693               0.280939
 0.111889               0.282753
 0.112085               0.284568
 0.112281               0.286382
 0.112477               0.288197
 0.112674               0.290011
 0.11287                0.291826
 0.113066               0.29364
 0.113262               0.295455
 0.113458               0.297269
 0.113655               0.299084
 0.113851               0.300898
 0.114047               0.302713
 0.114243               0.304579
 0.114439               0.30647
 0.114636               0.308361
 0.114832               0.310252
 0.115028               0.312143
 0.115224               0.314034
 0.11542                0.315925
 0.115617               0.317816
 0.115813               0.319707
 0.116009               0.321599
 0.116205               0.32349
 0.116401               0.325381
 0.116598               0.327272
 0.116794               0.329163
 0.11699                0.331054
 0.117186               0.332945
 0.117382               0.334836
 0.117579               0.336727
 0.117775               0.338619
 0.117971               0.34051
 0.118167               0.342401
 0.118363               0.344292
 0.11856                0.346183
 0.118756               0.348074
 0.118952               0.349965
 0.119148               0.351856
 0.119344               0.353747
 0.119541               0.355639
 0.119737               0.35753
 0.119933               0.359421
 0.120129               0.361375
 0.120325               0.363538
 0.120522               0.365701
 0.120718               0.367864
 0.120914               0.370027
 0.12111                0.37219
 0.121306               0.374353
 0.121503               0.376516
 0.121699               0.378679
 0.121895               0.380842
 0.122091               0.383005
 0.122287               0.385168
 0.122483               0.387331
 0.12268                0.389494
 0.122876               0.391657
 0.123072               0.39382
 0.123268               0.395983
 0.123464               0.398146
 0.123661               0.400309
 0.123857               0.402472
 0.124053               0.404635
 0.124249               0.406798
 0.124445               0.408961
 0.124642               0.411124
