  omega_b    omega_cdm         h    log(A_s)       n_s         b        N
---------  -----------  --------  ----------  --------  --------  -------
 1.11138       1.0788   1.16924     1.1492    0.989564  1.15093   1.04969
 1.0788        1.07026  1.10307     1.1048    1.01601   1.10549   1.03855
 1.16924       1.10307  1.27335     1.23388   0.949594  1.23608   1.07197
 1.1492        1.1048   1.23388     1.19848   0.985994  1.20061   1.06757
 0.989564      1.01601  0.949594    0.985994  1.03997   0.985724  1.00271
 1.15093       1.10549  1.23608     1.20061   0.985724  1.20259   1.0682
 1.04969       1.03855  1.07197     1.06757   1.00271   1.0682    1.10318
