k | dPdomega_c | dPdomega_b | dPdh | dPdmnu
1.000000000000000021e-03 -2.250936525896229068e+04 -2.267434248650764857e+04 9.538600381646016103e+03 -2.167248925416127179e+02
1.113379999999999969e-03 -2.480322041265071311e+04 -2.497913623447975260e+04 1.052597032154923363e+04 -2.357583821017618391e+02
1.370340000000000056e-03 -2.981475120051674094e+04 -3.001886310384457829e+04 1.269825625379882877e+04 -2.779162666769185535e+02
1.749949999999999900e-03 -3.674731308657325280e+04 -3.697632990761441033e+04 1.574332664489519993e+04 -3.420481860954947706e+02
2.241130000000000032e-03 -4.490283465128230455e+04 -4.515141035454490338e+04 1.940008736738965672e+04 -4.329685599286897286e+02
2.857580000000000189e-03 -5.390615861705822317e+04 -5.416644282090815250e+04 2.355857050898915259e+04 -5.594478251569717031e+02
3.608740000000000038e-03 -6.318121763103962439e+04 -6.345234795901546750e+04 2.802569151364605932e+04 -7.321212774532066305e+02
4.483019999999999887e-03 -7.189546312870120164e+04 -7.220750350100679498e+04 3.247400756308385462e+04 -9.529967680526656295e+02
5.471679999999999600e-03 -7.941458226336402004e+04 -7.984742996264422254e+04 3.663883948282384517e+04 -1.207214207912489655e+03
6.584200000000000122e-03 -8.535838296511664521e+04 -8.608966629880161781e+04 4.036227103941505629e+04 -1.485758022238072726e+03
7.828079999999999414e-03 -8.937661829159101762e+04 -9.070954516547193634e+04 4.348205032008545095e+04 -1.783821313615843792e+03
9.194370000000000320e-03 -9.117507704814165481e+04 -9.357673129042096843e+04 4.582450379373049509e+04 -2.078494619995609355e+03
1.067560000000000037e-02 -9.062264015959114477e+04 -9.477166554478123726e+04 4.727702273984447675e+04 -2.338993232535605785e+03
1.227920000000000053e-02 -8.771596735389973037e+04 -9.450227266233610862e+04 4.779246440456731216e+04 -2.577263483803023973e+03
1.401140000000000024e-02 -8.252208893464686116e+04 -9.308755895038123708e+04 4.734974371272268763e+04 -2.784981784360146321e+03
1.586459999999999954e-02 -7.524189585419358627e+04 -9.093469779225287493e+04 4.597397196408861782e+04 -2.945235765180881117e+03
1.783210000000000003e-02 -6.620378586421077489e+04 -8.848924933459819295e+04 4.375505365278875252e+04 -3.044486402702008036e+03
1.992019999999999902e-02 -5.578728454641197459e+04 -8.620371092167985626e+04 4.082413748035719618e+04 -3.077919171785919843e+03
2.213400000000000090e-02 -4.448133213616190915e+04 -8.447051144849046250e+04 3.736725355411761848e+04 -3.065517454555423228e+03
2.446680000000000035e-02 -3.289054490541492851e+04 -8.375388696588555467e+04 3.362246500748016842e+04 -3.002551222601904101e+03
2.691270000000000120e-02 -2.163854241937793995e+04 -8.413700312651736022e+04 2.984022226935321669e+04 -2.894976047667435523e+03
2.947670000000000151e-02 -1.126664945669418194e+04 -8.584189815629702935e+04 2.625857881683899905e+04 -2.760919835480230176e+03
3.216349999999999765e-02 -2.235828413175877813e+03 -8.872130755093484186e+04 2.308192109410712874e+04 -2.601299567277769711e+03
3.496679999999999927e-02 5.096178988885202671e+03 -9.244296602157452435e+04 2.046659732960725887e+04 -2.440833022479052943e+03
3.788110000000000088e-02 1.055937893084857933e+04 -9.670701072860704153e+04 1.849342837672192036e+04 -2.282585529275263525e+03
4.091079999999999717e-02 1.419486282891076553e+04 -1.010072174596234981e+05 1.714896683852016940e+04 -2.130299825130360205e+03
4.405989999999999907e-02 1.618672242346996791e+04 -1.044944543974756671e+05 1.636363962371729394e+04 -1.999594385025567135e+03
4.732259999999999939e-02 1.684772178843737493e+04 -1.068330859143440030e+05 1.599045910337681926e+04 -1.887554023871505024e+03
5.069370000000000126e-02 1.657547946924316784e+04 -1.073486135249400249e+05 1.584486244618773708e+04 -1.795829463439595202e+03
5.417700000000000293e-02 1.581373662345971388e+04 -1.054464098427816498e+05 1.570845315063304588e+04 -1.715049009617052207e+03
5.777580000000000215e-02 1.500050650343013149e+04 -1.009087089700466749e+05 1.536412408628160847e+04 -1.648715719613492411e+03
6.148499999999999799e-02 1.452474031002589254e+04 -9.359442800022018491e+04 1.463565922679881078e+04 -1.588591720371625797e+03
6.529930000000000456e-02 1.466334430326474649e+04 -8.398919344850866764e+04 1.342510458139296497e+04 -1.527025540124463305e+03
6.922219999999999762e-02 1.552097907849165131e+04 -7.294405846900187316e+04 1.174016928827919764e+04 -1.457726908330560491e+03
7.325660000000000505e-02 1.699984314848653958e+04 -6.174060830342127156e+04 9.718959946838409451e+03 -1.378291865038272590e+03
7.739740000000000508e-02 1.879783798914538784e+04 -5.186372568374616094e+04 7.607436699702516307e+03 -1.287713163023390280e+03
8.163979999999999848e-02 2.049478165324850124e+04 -4.455462941788444004e+04 5.701984939534863770e+03 -1.190394365761249219e+03
8.598669999999999924e-02 2.167414996664562204e+04 -4.056541893154512945e+04 4.259028353138094644e+03 -1.090098814451593626e+03
9.044049999999999312e-02 2.204526913120232712e+04 -3.988707304773699434e+04 3.437145536083799470e+03 -9.941421115058664100e+02
9.499639999999999473e-02 2.151481910715638151e+04 -4.186948441041571641e+04 3.255916130081533083e+03 -9.055064187596550482e+02
9.964989999999999959e-02 2.021234709297327572e+04 -4.532462933474122110e+04 3.598786668830364761e+03 -8.322231220755730874e+02
1.044029999999999958e-01 1.840961163912759002e+04 -4.889615325586953259e+04 4.248623883620974993e+03 -7.740119555534378151e+02
1.092589999999999950e-01 1.645922252280467728e+04 -5.132269140731268999e+04 4.946514178384584739e+03 -7.305038962940344618e+02
1.142119999999999941e-01 1.472240801079205812e+04 -5.146962315092155040e+04 5.431746855437184422e+03 -6.981648014986343469e+02
