Derivative of the nonlinear power spectrum - calculated with velocileptors using a linear eulerian bias b = 1.5 - with respect to m_ncdm at z=4, using the fiducial cosmological parameters listed below:
   'A_s': 2.10732e-9,
   'n_s': 0.96824,
   'alpha_s': 0.,
   'h': 0.6770,
   'N_ur': 2.0328,
   'N_ncdm': 1,
   'm_ncdm': 0.06,
   'tau_reio': 0.0568,
   'omega_b': 0.02247,
   'omega_cdm': 0.11923,
   'Omega_k': 0.

k [h/Mpc]        mu=0      mu=0.5       mu=1
 0.317504      -61.942     -87.7399   -208.994
 0.318737      -61.5539    -87.1903   -207.776
 0.31997       -61.166     -86.6441   -206.576
 0.321203      -60.7784    -86.0996   -205.386
 0.322436      -60.3908    -85.5551   -204.196
 0.323669      -60.0017    -85.0106   -203.013
 0.324902      -59.6096    -84.466    -201.846
 0.326135      -59.2175    -83.9214   -200.679
 0.327368      -58.8255    -83.3767   -199.512
 0.328602      -58.4324    -82.8361   -198.374
 0.329835      -58.0393    -82.2954   -197.236
 0.331068      -57.6462    -81.7548   -196.098
 0.332301      -57.2544    -81.2188   -194.981
 0.333534      -56.8633    -80.6859   -193.878
 0.334767      -56.4723    -80.1529   -192.774
 0.336         -56.0825    -79.6221   -191.677
 0.337233      -55.6985    -79.1012   -190.608
 0.338466      -55.3144    -78.5803   -189.539
 0.339699      -54.9304    -78.0595   -188.47
 0.340932      -54.5547    -77.5507   -187.429
 0.342165      -54.1827    -77.0472   -186.398
 0.343398      -53.8106    -76.5437   -185.368
 0.344632      -53.4413    -76.0438   -184.345
 0.345865      -53.0851    -75.5612   -183.354
 0.347098      -52.7289    -75.0787   -182.364
 0.348331      -52.3726    -74.5961   -181.373
 0.349564      -52.0279    -74.1275   -180.404
 0.350797      -51.6907    -73.668    -179.448
 0.35203       -51.3535    -73.2084   -178.493
 0.353263      -51.0162    -72.7489   -177.538
 0.354496      -50.6979    -72.3121   -176.616
 0.355729      -50.3796    -71.8755   -175.696
 0.356962      -50.0613    -71.4389   -174.775
 0.358195      -49.7493    -71.0097   -173.864
 0.359429      -49.4498    -70.595    -172.973
 0.360662      -49.1503    -70.1803   -172.081
 0.361895      -48.8508    -69.7656   -171.19
 0.363128      -48.561     -69.3621   -170.314
 0.364361      -48.2768    -68.9652   -169.446
 0.365594      -47.9927    -68.5682   -168.578
 0.366827      -47.7086    -68.1712   -167.71
 0.36806       -47.4362    -67.7889   -166.866
 0.369293      -47.1655    -67.4085   -166.024
 0.370526      -46.8948    -67.0281   -165.183
 0.371759      -46.6249    -66.6488   -164.344
 0.372992      -46.3652    -66.2824   -163.527
 0.374226      -46.1055    -65.916    -162.71
 0.375459      -45.8458    -65.5497   -161.893
 0.376692      -45.5878    -65.1857   -161.081
 0.377925      -45.3356    -64.8298   -160.287
 0.379158      -45.0834    -64.474    -159.493
 0.380391      -44.8312    -64.1181   -158.699
 0.381624      -44.5806    -63.765    -157.913
 0.382857      -44.3332    -63.4175   -157.142
 0.38409       -44.0858    -63.07     -156.372
 0.385323      -43.8384    -62.7225   -155.602
 0.386556      -43.5932    -62.3787   -154.842
 0.387789      -43.3514    -62.0409   -154.099
 0.389023      -43.1096    -61.7031   -153.356
 0.390256      -42.8679    -61.3652   -152.614
 0.391489      -42.6279    -61.0307   -151.881
 0.392722      -42.3907    -60.7014   -151.165
 0.393955      -42.1535    -60.3721   -150.448
 0.395188      -41.9163    -60.0428   -149.732
 0.396421      -41.6808    -59.7164   -149.023
 0.397654      -41.4485    -59.3957   -148.332
 0.398887      -41.2162    -59.075    -147.64
 0.40012       -40.9839    -58.7543   -146.949
 0.401353      -40.7532    -58.436    -146.263
 0.402586      -40.5276    -58.1256   -145.597
 0.40382       -40.302     -57.8152   -144.931
 0.405053      -40.0764    -57.5048   -144.265
 0.406286      -39.8514    -57.1953   -143.601
 0.407519      -39.6335    -56.896    -142.96
 0.408752      -39.4156    -56.5967   -142.318
 0.409985      -39.1977    -56.2974   -141.677
 0.411218      -38.9798    -55.9981   -141.036
 0.412451      -38.7689    -55.7078   -140.411
 0.413684      -38.559     -55.4188   -139.788
 0.414917      -38.3492    -55.1298   -139.165
 0.41615       -38.1393    -54.8408   -138.543
 0.417383      -37.9343    -54.5582   -137.931
 0.418617      -37.7325    -54.2795   -137.327
 0.41985       -37.5307    -54.0009   -136.723
 0.421083      -37.3289    -53.7223   -136.119
 0.422316      -37.1296    -53.4468   -135.52
 0.423549      -36.9365    -53.179    -134.933
 0.424782      -36.7434    -52.9112   -134.347
 0.426015      -36.5503    -52.6433   -133.76
 0.427248      -36.3572    -52.3755   -133.174
 0.428481      -36.1724    -52.1174   -132.601
 0.429714      -35.9882    -51.8601   -132.03
 0.430947      -35.8041    -51.6027   -131.458
 0.43218       -35.6199    -51.3454   -130.887
 0.433414      -35.4395    -51.0928   -130.324
 0.434647      -35.2628    -50.845    -129.769
 0.43588       -35.0861    -50.5971   -129.214
 0.437113      -34.9095    -50.3492   -128.659
 0.438346      -34.7329    -50.1015   -128.104
 0.439579      -34.563     -49.8625   -127.566
 0.440812      -34.393     -49.6235   -127.027
 0.442045      -34.2231    -49.3844   -126.489
 0.443278      -34.0532    -49.1454   -125.95
 0.444511      -33.8861    -48.9101   -125.419
 0.445744      -33.7221    -48.679    -124.896
 0.446977      -33.5581    -48.4478   -124.373
 0.448211      -33.3941    -48.2167   -123.85
 0.449444      -33.2301    -47.9855   -123.327
 0.450677      -33.0704    -47.7609   -122.82
 0.45191       -32.9113    -47.5371   -122.315
 0.453143      -32.7521    -47.3133   -121.81
 0.454376      -32.5929    -47.0895   -121.305
 0.455609      -32.4347    -46.8672   -120.805
 0.456842      -32.2797    -46.6501   -120.318
 0.458075      -32.1246    -46.4331   -119.831
 0.459308      -31.9696    -46.2161   -119.344
 0.460541      -31.8145    -45.999    -118.857
 0.461774      -31.6615    -45.7853   -118.379
 0.463008      -31.5104    -45.5747   -117.91
 0.464241      -31.3593    -45.3641   -117.44
 0.465474      -31.2082    -45.1534   -116.97
 0.466707      -31.0571    -44.9428   -116.501
 0.46794       -30.9094    -44.7372   -116.043
 0.469173      -30.7628    -44.5335   -115.59
 0.470406      -30.6163    -44.3297   -115.137
 0.471639      -30.4698    -44.1259   -114.684
 0.472872      -30.3232    -43.9221   -114.23
 0.474105      -30.1815    -43.7251   -113.791
 0.475338      -30.0403    -43.5288   -113.354
 0.476571      -29.8992    -43.3325   -112.917
 0.477805      -29.758     -43.1362   -112.479
 0.479038      -29.6168    -42.9399   -112.042
 0.480271      -29.4807    -42.7505   -111.619
 0.481504      -29.3446    -42.5611   -111.196
 0.482737      -29.2086    -42.3717   -110.773
 0.48397       -29.0725    -42.1823   -110.349
 0.485203      -28.9366    -41.9932   -109.927
 0.486436      -28.8057    -41.8104   -109.515
 0.487669      -28.6749    -41.6276   -109.103
 0.488902      -28.5441    -41.4449   -108.692
 0.490135      -28.4132    -41.2621   -108.28
 0.491368      -28.2825    -41.0794   -107.868
 0.492602      -28.1571    -40.9035   -107.468
 0.493835      -28.0318    -40.7275   -107.068
 0.495068      -27.9064    -40.5516   -106.668
 0.496301      -27.7811    -40.3757   -106.268
 0.497534      -27.6557    -40.1997   -105.868
 0.498767      -27.535     -40.0297   -105.479
 0.5           -27.4146    -39.8601   -105.09
