Derivative of the nonlinear power spectrum - calculated with velocileptors using a linear eulerian bias b = 1.5 - with respect to m_ncdm at z=2, using the fiducial cosmological parameters listed below:
   'A_s': 2.10732e-9,
   'n_s': 0.96824,
   'alpha_s': 0.,
   'h': 0.6770,
   'N_ur': 2.0328,
   'N_ncdm': 1,
   'm_ncdm': 0.06,
   'tau_reio': 0.0568,
   'omega_b': 0.02247,
   'omega_cdm': 0.11923,
   'Omega_k': 0.

k [h/Mpc]        mu=0     mu=0.5       mu=1
 0.157203     -597.011    -808.44   -1758.46
 0.158436     -588.327    -797.117  -1737.71
 0.159669     -580.084    -786.344  -1717.85
 0.160902     -572.072    -775.855  -1698.45
 0.162135     -564.707    -766.141  -1680.19
 0.163368     -557.57     -756.704  -1662.36
 0.164602     -550.815    -747.731  -1645.24
 0.165835     -544.48     -739.258  -1628.85
 0.167068     -538.336    -731.013  -1612.79
 0.168301     -532.779    -723.457  -1597.69
 0.169534     -527.369    -716.075  -1582.85
 0.170767     -522.368    -709.181  -1568.71
 0.172        -517.588    -702.541  -1554.92
 0.173233     -513.032    -696.162  -1541.47
 0.174466     -508.73     -690.078  -1528.43
 0.175699     -504.526    -684.108  -1515.55
 0.176932     -500.567    -678.428  -1503.08
 0.178165     -496.65     -672.797  -1490.67
 0.179398     -492.92     -667.384  -1478.57
 0.180632     -489.216    -662.006  -1466.54
 0.181865     -485.592    -656.729  -1454.68
 0.183098     -481.984    -651.477  -1442.88
 0.184331     -478.4      -646.265  -1431.18
 0.185564     -474.807    -641.055  -1419.55
 0.186797     -471.207    -635.849  -1407.98
 0.18803      -467.553    -630.604  -1396.45
 0.189263     -463.86     -625.331  -1384.95
 0.190496     -460.079    -619.983  -1373.47
 0.191729     -456.247    -614.594  -1362.01
 0.192962     -452.308    -609.118  -1350.6
 0.194195     -448.318    -603.601  -1339.2
 0.195429     -444.22     -598.002  -1327.87
 0.196662     -440.074    -592.367  -1316.57
 0.197895     -435.842    -586.676  -1305.39
 0.199128     -431.569    -580.959  -1294.26
 0.200361     -427.231    -575.209  -1283.27
 0.201594     -422.855    -569.44   -1272.35
 0.202827     -418.44     -563.661  -1261.56
 0.20406      -413.995    -557.876  -1250.88
 0.205293     -409.539    -552.104  -1240.34
 0.206526     -405.071    -546.348  -1229.93
 0.207759     -400.619    -540.628  -1219.65
 0.208992     -396.193    -534.973  -1209.58
 0.210226     -391.792    -529.354  -1199.6
 0.211459     -387.485    -523.871  -1189.91
 0.212692     -383.182    -518.394  -1180.23
 0.213925     -379.031    -513.118  -1170.93
 0.215158     -374.879    -507.842  -1161.62
 0.216391     -370.888    -502.764  -1152.62
 0.217624     -366.931    -497.727  -1143.69
 0.218857     -363.111    -492.849  -1134.96
 0.22009      -359.384    -488.077  -1126.36
 0.221323     -355.741    -483.4    -1117.88
 0.222556     -352.26     -478.907  -1109.62
 0.223789     -348.792    -474.429  -1101.38
 0.225023     -345.575    -470.222  -1093.42
 0.226256     -342.358    -466.014  -1085.46
 0.227489     -339.327    -462.003  -1077.67
 0.228722     -336.363    -458.063  -1069.95
 0.229955     -333.488    -454.217  -1062.32
 0.231188     -330.752    -450.517  -1054.82
 0.232421     -328.018    -446.819  -1047.32
 0.233654     -325.479    -443.318  -1039.96
 0.234887     -322.939    -439.816  -1032.6
 0.23612      -320.495    -436.413  -1025.32
 0.237353     -318.112    -433.073  -1018.1
 0.238586     -315.752    -429.758  -1010.89
 0.23982      -313.505    -426.563  -1003.81
 0.241053     -311.258    -423.367   -996.722
 0.242286     -309.089    -420.256   -989.729
 0.243519     -306.952    -417.181   -982.775
 0.244752     -304.829    -414.123   -975.851
 0.245985     -302.755    -411.13    -969.052
 0.247218     -300.682    -408.137   -962.253
 0.248451     -298.626    -405.179   -955.559
 0.249684     -296.579    -402.237   -948.918
 0.250917     -294.532    -399.299   -942.295
 0.25215      -292.488    -396.393   -935.833
 0.253383     -290.445    -393.486   -929.371
 0.254617     -288.392    -390.591   -923.015
 0.25585      -286.331    -387.706   -916.763
 0.257083     -284.27     -384.822   -910.51
 0.258316     -282.195    -381.963   -904.469
 0.259549     -280.118    -379.108   -898.457
 0.260782     -278.039    -376.26    -892.499
 0.262015     -275.95     -373.441   -886.74
 0.263248     -273.862    -370.621   -880.981
 0.264481     -271.772    -367.825   -875.354
 0.265714     -269.682    -365.051   -869.853
 0.266947     -267.591    -362.276   -864.352
 0.26818      -265.519    -359.555   -859.054
 0.269414     -263.451    -356.848   -853.813
 0.270647     -261.383    -354.142   -848.575
 0.27188      -259.353    -351.513   -843.578
 0.273113     -257.324    -348.884   -838.581
 0.274346     -255.305    -346.273   -833.625
 0.275579     -253.329    -343.727   -828.822
 0.276812     -251.352    -341.18    -824.019
 0.278045     -249.401    -338.668   -819.277
 0.279278     -247.493    -336.212   -814.638
 0.280511     -245.585    -333.755   -809.999
 0.281744     -243.716    -331.345   -805.422
 0.282977     -241.886    -328.982   -800.91
 0.284211     -240.057    -326.618   -796.398
 0.285444     -238.28     -324.307   -791.925
 0.286677     -236.539    -322.034   -787.478
 0.28791      -234.799    -319.76    -783.031
 0.289143     -233.119    -317.548   -778.626
 0.290376     -231.476    -315.37    -774.245
 0.291609     -229.832    -313.193   -769.864
 0.292842     -228.258    -311.082   -765.514
 0.294075     -226.721    -309.007   -761.18
 0.295308     -225.185    -306.931   -756.846
 0.296541     -223.706    -304.909   -752.526
 0.297774     -222.262    -302.918   -748.215
 0.299008     -220.817    -300.927   -743.904
 0.300241     -219.411    -298.974   -739.619
 0.301474     -218.035    -297.05    -735.355
 0.302707     -216.658    -295.126   -731.09
 0.30394      -215.303    -293.225   -726.849
 0.305173     -213.972    -291.35    -722.636
 0.306406     -212.642    -289.475   -718.423
 0.307639     -211.323    -287.614   -714.235
 0.308872     -210.029    -285.785   -710.098
 0.310105     -208.736    -283.956   -705.962
 0.311338     -207.447    -282.133   -701.842
 0.312571     -206.189    -280.355   -697.82
 0.313805     -204.931    -278.577   -693.799
 0.315038     -203.673    -276.799   -689.777
 0.316271     -202.449    -275.074   -685.883
 0.317504     -201.228    -273.353   -682.001
 0.318737     -200.007    -271.633   -678.119
 0.31997      -198.799    -269.942   -674.34
 0.321203     -197.598    -268.268   -670.616
 0.322436     -196.397    -266.593   -666.892
 0.323669     -195.2      -264.934   -663.227
 0.324902     -194.013    -263.302   -659.672
 0.326135     -192.825    -261.671   -656.118
 0.327368     -191.637    -260.039   -652.564
 0.328602     -190.47     -258.456   -649.178
 0.329835     -189.302    -256.874   -645.793
