Derivatives of the galaxy P(k) at mu=0.0,0.5,1.0 and at z=0.75, with bias b=1.0 
omega_c = 0.11923, omega_b =  0.02247, h = 0.677, m_nu = 0.06 eV. Other parameters: A_s = 2.10732*10^-9, n_s = 0.96824,
k | dP_gg / d theta, mu=0 |  dP_gg / d theta, mu = 0.5 | dP_gg / d theta, mu = 1.0 | x4 
0.0652993 	14618.7 	25224.3 	72613.  	-84180.5	-118472.	-256083.	13416.8	17879.4	34746.7   	-1.41758e7	-2.11469e7	-5.03638e7
0.0692222 	15488.4 	26302.7 	74377.9 	-73098.2	-102538.	-220331.	11726. 	15497.6	29589.5   	-1.35604e7	-2.02364e7	-4.82233e7
0.0732566 	16964.6 	28239.6 	78017.2 	-61839. 	-86368.6	-184121.	9698.97	12636.4	23372.2   	-1.28177e7	-1.91341e7	-4.56189e7
0.0773974 	18762.2 	30617.7 	82567.3 	-51931.5	-72183.9	-152520.	7582.97	9656.67	16924.4   	-1.19913e7	-1.79135e7	-4.27569e7
0.0816398 	20450.7 	32818.8 	86643.9 	-44614.5	-61786. 	-129655.	5673.69	6985.45	11212.    	-1.10935e7	-1.65839e7	-3.96257e7
0.0859867 	21625.9 	34266.  	88968.  	-40621. 	-56237.1	-117938.	4235.47	5001.83	7081.67   	-1.01691e7	-1.52033e7	-3.63314e7
0.0904405 	21986.9 	34538.5 	88640.7 	-39972. 	-55543.3	-117293.	3423.77	3925.81	5013.78   	-9.25849e6	-1.38484e7	-3.31173e7
0.0949964 	21462.  	33547.2 	85515.4 	-41991. 	-58708.7	-125395.	3252.75	3771.46	5015.98   	-8.45115e6	-1.26469e7	-3.02666e7
0.0996499 	20169.2 	31474.1 	80047.6 	-45491.8	-63993.5	-138211.	3604.44	4362.7 	6668.56   	-7.7772e6 	-1.16438e7	-2.78859e7
0.104403  	18355.3 	28683.1 	73088.2 	-49186.6	-69521.1	-151433.	4264.99	5386.69	9248.96   	-7.20809e6	-1.07994e7	-2.58917e7
0.109259  	16412.1 	25741.8 	65927.  	-51471.7	-72958.8	-159727.	4966.75	6454.95	11871.8   	-6.78275e6	-1.01695e7	-2.4408e7 
0.114212  	14693.1 	23156.6 	59693.7 	-51660.9	-73317.1	-160859.	5452.  	7195.92	13699.2   	-6.52946e6	-9.79395e6	-2.35221e7
0.119258  	13468.7 	21308.7 	55214.  	-48995.6	-69506. 	-152388.	5514.35	7314.3 	14074.2   	-6.27236e6	-9.41572e6	-2.26408e7
0.124399  	12928.3 	20459.9 	53035.9 	-43663.1	-61811.4	-135017.	5059.06	6677.85	12715.2   	-6.07163e6	-9.11897e6	-2.19439e7
0.129637  	13022.1 	20526.2 	52923.7 	-36480.3	-51433.1	-111536.	4148.5 	5382.16	9859.22   	-5.8015e6 	-8.71854e6	-2.09996e7
0.134967  	13563.2 	21229.  	54214.6 	-29102.2	-40786.6	-87499.6	2984.11	3723.  	6193.31   	-5.5545e6 	-8.34834e6	-2.01115e7
0.140386  	14161.1 	22000.  	55607.1 	-23064.8	-32104.7	-68012.7	1858.04	2125.5 	2690.8    	-5.14625e6	-7.73909e6	-1.86596e7
0.145894  	14457.6 	22324.3 	55946.2 	-19569.7	-27131. 	-57048.2	1051.4 	996.302	273.399   	-4.70961e6	-7.08762e6	-1.71077e7
0.151494  	14223.4 	21877.  	54521.5 	-18768.7	-26076.6	-55052.7	715.121	551.02 	-580.261  	-4.37018e6	-6.57607e6	-1.58703e7
0.15718   	13423.2 	20616.6 	51274.9 	-20290. 	-28390.2	-60725.5	847.21 	782.859	99.5641   	-3.97775e6	-5.98856e6	-1.44633e7
0.162949  	12239.3 	18814.8 	46852.8 	-22963.3	-32362.5	-70128.5	1304.32	1480.61	1819.52   	-3.66918e6	-5.52623e6	-1.33548e7
0.168803  	10935.8 	16857.8 	42146.1 	-25381.4	-35944. 	-78564.2	1861.32	2315.96	3825.28   	-3.50782e6	-5.28028e6	-1.27498e7
0.174741  	9767.16 	15113.  	37985.5 	-26538.7	-37674.3	-82698.9	2304.61	2979.21	5412.13   	-3.31375e6	-4.9895e6 	-1.20526e7
0.180761  	8953.   	13894.6 	35069.  	-25813. 	-36654.8	-80502.4	2460.83	3220.58	6017.55   	-3.19274e6	-4.80813e6	-1.16175e7
0.186858  	8597.58 	13346.5 	33698.4 	-23148.2	-32810.7	-71828.6	2263.35	2946.07	5437.45   	-3.10905e6	-4.67984e6	-1.12993e7
0.193033  	8628.98 	13358.2 	33596.8 	-19349.7	-27320.7	-59400.6	1775.8 	2250.78	3899.05   	-2.95255e6	-4.44447e6	-1.07318e7
0.199288  	8857.3  	13649.9 	34112.3 	-15483.5	-21738.8	-46787.3	1164.6 	1378.24	1964.9    	-2.81076e6	-4.23078e6	-1.02149e7
0.205617  	9028.53 	13852.6 	34401.6 	-12606.8	-17602.1	-37502.7	638.296	631.678	328.348   	-2.64962e6	-3.98681e6	-9.6207e6 
0.212017  	8946.25 	13684.3 	33833.6 	-11344.4	-15817.1	-33612.6	349.813	232.062	-510.625  	-2.46348e6	-3.70527e6	-8.93596e6
0.21849   	8548.88 	13059.7 	32229.3 	-11636.1	-16290.5	-34880. 	341.656	239.39 	-421.629  	-2.29456e6	-3.44956e6	-8.31328e6
0.225035  	7906.49 	12084.7 	29845.7 	-12830.5	-18069.6	-39107.3	553.027	563.489	382.489   	-2.16697e6	-3.25545e6	-7.83711e6
0.231648  	7177.32 	10991.6 	27222.6 	-14109. 	-19964. 	-43572.1	847.443	1005.2 	1443.72   	-2.03147e6	-3.0517e6 	-7.34595e6
0.238326  	6528.35 	10022.5 	24911.  	-14748. 	-20920.4	-45861.5	1084.34	1360.21	2295.18   	-1.95045e6	-2.92855e6	-7.04422e6
0.24507   	6083.09 	9354.14 	23304.2 	-14339.6	-20348.2	-44634.5	1161.49	1480.92	2603.22   	-1.86018e6	-2.79244e6	-6.71474e6
