Derivatives of the galaxy P(k) at mu=0.0,0.5,1.0 and at z=1.0, with bias b=1.0 
omega_c = 0.11923, omega_b =  0.02247, h = 0.677, m_nu = 0.06 eV. Other parameters: A_s = 2.10732*10^-9, n_s = 0.96824,
k | dP_gg / d theta, mu=0 |  dP_gg / d theta, mu = 0.5 | dP_gg / d theta, mu = 1.0 | x4 
0.0773974 	29428.1 	47091.9 	99951.9 	-41264.8	-55708. 	-135129.	3097.5  	2728.43 	9612.03	-118104.	-175895.	-441708.
0.0816398 	29361.7 	46345.5 	96651.2 	-35702.8	-48258.2	-119645.	1926.45 	1297.26 	7004.5 	-110216.	-164560.	-415448.
0.0859867 	29102.2 	45426.2 	93767.8 	-33144.6	-45076.7	-113138.	1091.7  	309.038 	5064.32	-101724.	-152099.	-385278.
0.0904405 	28484.9 	44145.5 	91041.6 	-33473.5	-45935.5	-114889.	691.313 	-113.947	4004.81	-92921.5	-139099.	-353158.
0.0949964 	27475.5 	42468.7 	88327.4 	-35977.7	-49787.6	-122584.	724.307 	20.3738 	3835.38	-84737.8	-126886.	-322148.
0.0996499 	26123.3 	40445.7 	85467.  	-39538. 	-55022.4	-132792.	1101.34 	591.211 	4393.83	-77561.9	-116067.	-293993.
0.104403  	24528.2 	38172.8 	82295.  	-43012.8	-60029.9	-142221.	1668.99 	1395.79 	5375.97	-71231.4	-106481.	-268794.
0.109259  	22896.4 	35885.  	78931.9 	-44987. 	-62815. 	-146720.	2239.37 	2188.48 	6399.69	-66353. 	-99063.8	-249071.
0.114212  	21385.1 	33742.5 	75359.2 	-44968.8	-62731.2	-145193.	2637.06 	2742.94 	7106.89	-63427.2	-94592.1	-236911.
0.119258  	20097.5 	31835.4 	71510.  	-42366.5	-58978.9	-136091.	2726.62 	2887.32 	7220.7 	-60729.4	-90589.3	-226818.
0.124399  	19137.3 	30282.5 	67586.7 	-37454.8	-51990.1	-120471.	2448.44 	2548.01 	6599.71	-58994.7	-88108.6	-221088.
