# Components of the (real space) Zeldovich power spectrum.
#              k             P_Z              b1              b2            b1^2            b2^2           b1.b2
     2.59502e-01     8.01184e+01     1.63322e+02     3.32417e+00     8.46584e+01     4.65930e+00     7.91475e+00
     2.71859e-01     7.30195e+01     1.48970e+02     3.32553e+00     7.75390e+01     4.49606e+00     7.80879e+00
     2.84804e-01     6.59467e+01     1.34782e+02     3.31137e+00     7.03839e+01     4.33377e+00     7.68291e+00
     2.98365e-01     6.01433e+01     1.23191e+02     3.28323e+00     6.44608e+01     4.17293e+00     7.53903e+00
     3.12572e-01     5.55056e+01     1.13875e+02     3.25070e+00     5.97239e+01     4.01383e+00     7.38736e+00
     3.27455e-01     5.10130e+01     1.04777e+02     3.21729e+00     5.51612e+01     3.85662e+00     7.23234e+00
     3.43047e-01     4.63421e+01     9.53421e+01     3.17724e+00     5.04062e+01     3.70155e+00     7.06877e+00
     3.59381e-01     4.21039e+01     8.68236e+01     3.12717e+00     4.60538e+01     3.54901e+00     6.89349e+00
     3.76494e-01     3.85485e+01     7.96569e+01     3.07166e+00     4.23854e+01     3.39926e+00     6.71144e+00
     3.94421e-01     3.52432e+01     7.29561e+01     3.01387e+00     3.89809e+01     3.25243e+00     6.52655e+00
     4.13201e-01     3.20303e+01     6.64518e+01     2.95130e+00     3.56607e+01     3.10874e+00     6.33688e+00
     4.32876e-01     2.91587e+01     6.06456e+01     2.88338e+00     3.26718e+01     2.96842e+00     6.14203e+00
     4.53488e-01     2.66003e+01     5.54518e+01     2.81276e+00     3.00008e+01     2.83160e+00     5.94508e+00
     4.75081e-01     2.41961e+01     5.05635e+01     2.73959e+00     2.74849e+01     2.69842e+00     5.74673e+00
     4.97702e-01     2.20030e+01     4.61055e+01     2.66339e+00     2.51756e+01     2.56902e+00     5.54672e+00
     5.21401e-01     2.00254e+01     4.20745e+01     2.58538e+00     2.30838e+01     2.44349e+00     5.34658e+00
     5.46228e-01     1.82012e+01     3.83504e+01     2.50587e+00     2.11461e+01     2.32190e+00     5.14700e+00
     5.72237e-01     1.65429e+01     3.49605e+01     2.42503e+00     1.93741e+01     2.20432e+00     4.94833e+00
     5.99484e-01     1.50330e+01     3.18663e+01     2.34348e+00     1.77525e+01     2.09080e+00     4.75146e+00
     6.28029e-01     1.36540e+01     2.90357e+01     2.26147e+00     1.62629e+01     1.98136e+00     4.55683e+00
     6.57933e-01     1.24002e+01     2.64566e+01     2.17935e+00     1.49001e+01     1.87600e+00     4.36499e+00
     6.89261e-01     1.12590e+01     2.41040e+01     2.09750e+00     1.36521e+01     1.77472e+00     4.17645e+00
     7.22081e-01     1.02204e+01     2.19579e+01     2.01620e+00     1.25089e+01     1.67750e+00     3.99162e+00
     7.56463e-01     9.27578e+00     2.00011e+01     1.93569e+00     1.14621e+01     1.58431e+00     3.81084e+00
     7.92483e-01     8.41697e+00     1.82177e+01     1.85620e+00     1.05036e+01     1.49509e+00     3.63443e+00
     8.30218e-01     7.63648e+00     1.65927e+01     1.77796e+00     9.62616e+00     1.40978e+00     3.46266e+00
     8.69749e-01     6.92738e+00     1.51123e+01     1.70114e+00     8.82291e+00     1.32832e+00     3.29575e+00
     9.11163e-01     6.28339e+00     1.37639e+01     1.62591e+00     8.08766e+00     1.25063e+00     3.13388e+00
     9.54548e-01     5.69870e+00     1.25359e+01     1.55241e+00     7.41466e+00     1.17663e+00     2.97720e+00
     1.00000e+00     5.16794e+00     1.14178e+01     1.48077e+00     6.79861e+00     1.10621e+00     2.82581e+00
