# Components of the (real space) Zeldovich power spectrum.
#              k             P_Z              b1              b2            b1^2            b2^2           b1.b2
     1.00000e-02     1.54011e+03     3.09910e+03    -1.39578e-01     1.53686e+03     9.39314e+00     1.98783e-01
     1.04762e-02     1.56684e+03     3.15271e+03    -1.49400e-01     1.56361e+03     9.39028e+00     2.18747e-01
     1.09750e-02     1.59188e+03     3.20290e+03    -1.59597e-01     1.58867e+03     9.38715e+00     2.40701e-01
     1.14976e-02     1.61500e+03     3.24926e+03    -1.70127e-01     1.61184e+03     9.38374e+00     2.64831e-01
     1.20450e-02     1.63605e+03     3.29136e+03    -1.80937e-01     1.63292e+03     9.38001e+00     2.91341e-01
     1.26186e-02     1.65472e+03     3.32872e+03    -1.91960e-01     1.65166e+03     9.37595e+00     3.20447e-01
     1.32194e-02     1.67084e+03     3.36091e+03    -2.03113e-01     1.66785e+03     9.37151e+00     3.52380e-01
     1.38489e-02     1.68415e+03     3.38742e+03    -2.14298e-01     1.68124e+03     9.36668e+00     3.87388e-01
     1.45083e-02     1.69443e+03     3.40785e+03    -2.25401e-01     1.69163e+03     9.36141e+00     4.25730e-01
     1.51991e-02     1.70148e+03     3.42174e+03    -2.36289e-01     1.69879e+03     9.35566e+00     4.67679e-01
     1.59228e-02     1.70504e+03     3.42862e+03    -2.46812e-01     1.70249e+03     9.34941e+00     5.13520e-01
     1.66810e-02     1.70488e+03     3.42800e+03    -2.56800e-01     1.70247e+03     9.34259e+00     5.63547e-01
     1.74753e-02     1.70084e+03     3.41954e+03    -2.66067e-01     1.69858e+03     9.33517e+00     6.18061e-01
     1.83074e-02     1.69274e+03     3.40292e+03    -2.74410e-01     1.69067e+03     9.32709e+00     6.77365e-01
     1.91791e-02     1.68046e+03     3.37790e+03    -2.81612e-01     1.67857e+03     9.31830e+00     7.41763e-01
     2.00923e-02     1.66386e+03     3.34416e+03    -2.87445e-01     1.66216e+03     9.30875e+00     8.11552e-01
     2.10490e-02     1.64288e+03     3.30163e+03    -2.91674e-01     1.64140e+03     9.29835e+00     8.87017e-01
     2.20513e-02     1.61756e+03     3.25038e+03    -2.94061e-01     1.61629e+03     9.28706e+00     9.68429e-01
     2.31013e-02     1.58794e+03     3.19047e+03    -2.94371e-01     1.58690e+03     9.27478e+00     1.05603e+00
     2.42013e-02     1.55412e+03     3.12216e+03    -2.92380e-01     1.55332e+03     9.26145e+00     1.15004e+00
     2.53536e-02     1.51634e+03     3.04588e+03    -2.87880e-01     1.51576e+03     9.24697e+00     1.25062e+00
     2.65609e-02     1.47487e+03     2.96225e+03    -2.80685e-01     1.47453e+03     9.23126e+00     1.35791e+00
     2.78256e-02     1.43013e+03     2.87206e+03    -2.70644e-01     1.43002e+03     9.21422e+00     1.47199e+00
     2.91505e-02     1.38256e+03     2.77622e+03    -2.57636e-01     1.38266e+03     9.19573e+00     1.59289e+00
     3.05386e-02     1.33273e+03     2.67589e+03    -2.41579e-01     1.33304e+03     9.17570e+00     1.72058e+00
     3.19927e-02     1.28127e+03     2.57234e+03    -2.22428e-01     1.28177e+03     9.15400e+00     1.85501e+00
     3.35160e-02     1.22887e+03     2.46698e+03    -2.00164e-01     1.22955e+03     9.13050e+00     1.99605e+00
     3.51119e-02     1.17629e+03     2.36130e+03    -1.74794e-01     1.17712e+03     9.10508e+00     2.14357e+00
     3.67838e-02     1.12428e+03     2.25684e+03    -1.46318e-01     1.12523e+03     9.07759e+00     2.29743e+00
     3.85353e-02     1.07359e+03     2.15510e+03    -1.14711e-01     1.07466e+03     9.04788e+00     2.45750e+00
     4.03702e-02     1.02495e+03     2.05754e+03    -7.98889e-02     1.02610e+03     9.01582e+00     2.62369e+00
     4.22924e-02     9.78965e+02     1.96537e+03    -4.16682e-02     9.80181e+02     8.98123e+00     2.79601e+00
     4.43062e-02     9.36170e+02     1.87965e+03     2.69840e-04     9.37438e+02     8.94396e+00     2.97454e+00
     4.64159e-02     8.96907e+02     1.80105e+03     4.64258e-02     8.98216e+02     8.90383e+00     3.15953e+00
     4.86260e-02     8.61338e+02     1.72989e+03     9.75132e-02     8.62684e+02     8.86067e+00     3.35133e+00
     5.09414e-02     8.29374e+02     1.66597e+03     1.54460e-01     8.30764e+02     8.81431e+00     3.55043e+00
     5.33670e-02     8.00688e+02     1.60860e+03     2.18402e-01     8.02140e+02     8.76456e+00     3.75743e+00
     5.59081e-02     7.74659e+02     1.55652e+03     2.90608e-01     7.76198e+02     8.71123e+00     3.97290e+00
     5.85702e-02     7.50418e+02     1.50795e+03     3.72381e-01     7.52083e+02     8.65414e+00     4.19733e+00
     6.13591e-02     7.26835e+02     1.46061e+03     4.64888e-01     7.28674e+02     8.59310e+00     4.43090e+00
     6.42807e-02     7.02652e+02     1.41197e+03     5.68917e-01     7.04713e+02     8.52794e+00     4.67329e+00
     6.73415e-02     6.76603e+02     1.35948e+03     6.84630e-01     6.78937e+02     8.45846e+00     4.92346e+00
     7.05480e-02     6.47577e+02     1.30093e+03     8.11281e-01     6.50227e+02     8.38451e+00     5.17946e+00
     7.39072e-02     6.14911e+02     1.23504e+03     9.47042e-01     6.17898e+02     8.30593e+00     5.43831e+00
     7.74264e-02     5.78510e+02     1.16166e+03     1.08895e+00     5.81833e+02     8.22262e+00     5.69604e+00
     8.11131e-02     5.38999e+02     1.08211e+03     1.23304e+00     5.42625e+02     8.13447e+00     5.94793e+00
     8.49753e-02     4.97733e+02     9.99169e+02     1.37484e+00     5.01604e+02     8.04146e+00     6.18909e+00
     8.90215e-02     4.56655e+02     9.16775e+02     1.51004e+00     4.60688e+02     7.94358e+00     6.41514e+00
     9.32603e-02     4.17953e+02     8.39327e+02     1.63544e+00     4.22060e+02     7.84089e+00     6.62312e+00
     9.77010e-02     3.83579e+02     7.70708e+02     1.74987e+00     3.87686e+02     7.73348e+00     6.81225e+00
     1.02353e-01     3.54902e+02     7.13619e+02     1.85477e+00     3.58954e+02     7.62150e+00     6.98441e+00
     1.07227e-01     3.32335e+02     6.68800e+02     1.95428e+00     3.36323e+02     7.50508e+00     7.14398e+00
     1.12332e-01     3.15141e+02     6.34672e+02     2.05447e+00     3.19095e+02     7.38432e+00     7.29688e+00
     1.17681e-01     3.01527e+02     6.07554e+02     2.16165e+00     3.05517e+02     7.25929e+00     7.44883e+00
     1.23285e-01     2.88933e+02     5.82272e+02     2.28012e+00     2.93053e+02     7.13004e+00     7.60308e+00
     1.29155e-01     2.74733e+02     5.53569e+02     2.40977e+00     2.79068e+02     6.99657e+00     7.75836e+00
     1.35305e-01     2.57155e+02     5.17996e+02     2.54490e+00     2.61740e+02     6.85890e+00     7.90800e+00
     1.41747e-01     2.36147e+02     4.75599e+02     2.67523e+00     2.40949e+02     6.71716e+00     8.04126e+00
     1.48497e-01     2.13521e+02     4.30154e+02     2.78943e+00     2.18439e+02     6.57161e+00     8.14706e+00
     1.55568e-01     1.92165e+02     3.87478e+02     2.88022e+00     1.97078e+02     6.42262e+00     8.21897e+00
     1.62975e-01     1.74602e+02     3.52575e+02     2.94834e+00     1.79417e+02     6.27070e+00     8.25883e+00
     1.70735e-01     1.61774e+02     3.27172e+02     3.00280e+00     1.66473e+02     6.11628e+00     8.27662e+00
     1.78865e-01     1.52602e+02     3.08950e+02     3.05638e+00     1.57240e+02     5.95972e+00     8.28549e+00
     1.87382e-01     1.44544e+02     2.92739e+02     3.11777e+00     1.49217e+02     5.80118e+00     8.29400e+00
     1.96304e-01     1.35071e+02     2.73535e+02     3.18518e+00     1.39844e+02     5.64077e+00     8.30010e+00
     2.05651e-01     1.23409e+02     2.49959e+02     3.24667e+00     1.28264e+02     5.47869e+00     8.29179e+00
     2.15443e-01     1.11042e+02     2.25145e+02     3.28884e+00     1.15887e+02     5.31534e+00     8.25609e+00
     2.25702e-01     1.00327e+02     2.03802e+02     3.30789e+00     1.05071e+02     5.15131e+00     8.19002e+00
     2.36449e-01     9.23927e+01     1.88040e+02     3.31294e+00     9.70149e+01     4.98711e+00     8.10348e+00
     2.47708e-01     8.62929e+01     1.75824e+02     3.31708e+00     9.08453e+01     4.82306e+00     8.01023e+00
