# Components of the (real space) Zeldovich power spectrum.
#              k             P_Z              b1              b2            b1^2            b2^2           b1.b2
     1.00000e-02     7.83659e+02     1.57692e+03    -3.61334e-02     7.82003e+02     2.43152e+00     5.14597e-02
     1.04762e-02     7.97269e+02     1.60422e+03    -3.86764e-02     7.95616e+02     2.43079e+00     5.66282e-02
     1.09750e-02     8.10020e+02     1.62978e+03    -4.13166e-02     8.08377e+02     2.42998e+00     6.23119e-02
     1.14976e-02     8.21800e+02     1.65339e+03    -4.40431e-02     8.20179e+02     2.42911e+00     6.85593e-02
     1.20450e-02     8.32517e+02     1.67484e+03    -4.68421e-02     8.30912e+02     2.42815e+00     7.54228e-02
     1.26186e-02     8.42032e+02     1.69387e+03    -4.96961e-02     8.40459e+02     2.42710e+00     8.29585e-02
     1.32194e-02     8.50246e+02     1.71027e+03    -5.25840e-02     8.48706e+02     2.42596e+00     9.12267e-02
     1.38489e-02     8.57030e+02     1.72380e+03    -5.54804e-02     8.55534e+02     2.42472e+00     1.00291e-01
     1.45083e-02     8.62281e+02     1.73422e+03    -5.83556e-02     8.60834e+02     2.42337e+00     1.10219e-01
     1.51991e-02     8.65887e+02     1.74133e+03    -6.11752e-02     8.64494e+02     2.42189e+00     1.21081e-01
     1.59228e-02     8.67720e+02     1.74487e+03    -6.39003e-02     8.66388e+02     2.42028e+00     1.32951e-01
     1.66810e-02     8.67658e+02     1.74459e+03    -6.64870e-02     8.66395e+02     2.41853e+00     1.45906e-01
     1.74753e-02     8.65624e+02     1.74033e+03    -6.88871e-02     8.64435e+02     2.41662e+00     1.60023e-01
     1.83074e-02     8.61528e+02     1.73192e+03    -7.10481e-02     8.60423e+02     2.41455e+00     1.75381e-01
     1.91791e-02     8.55306e+02     1.71924e+03    -7.29136e-02     8.54288e+02     2.41229e+00     1.92059e-01
     2.00923e-02     8.46882e+02     1.70212e+03    -7.44249e-02     8.45956e+02     2.40983e+00     2.10134e-01
     2.10490e-02     8.36236e+02     1.68053e+03    -7.55205e-02     8.35410e+02     2.40716e+00     2.29681e-01
     2.20513e-02     8.23376e+02     1.65449e+03    -7.61390e-02     8.22652e+02     2.40426e+00     2.50769e-01
     2.31013e-02     8.08330e+02     1.62406e+03    -7.62195e-02     8.07711e+02     2.40111e+00     2.73461e-01
     2.42013e-02     7.91155e+02     1.58936e+03    -7.57035e-02     7.90644e+02     2.39768e+00     2.97815e-01
     2.53536e-02     7.71952e+02     1.55059e+03    -7.45373e-02     7.71546e+02     2.39396e+00     3.23874e-01
     2.65609e-02     7.50883e+02     1.50808e+03    -7.26728e-02     7.50582e+02     2.38992e+00     3.51673e-01
     2.78256e-02     7.28141e+02     1.46223e+03    -7.00700e-02     7.27941e+02     2.38555e+00     3.81235e-01
     2.91505e-02     7.03961e+02     1.41351e+03    -6.66977e-02     7.03858e+02     2.38080e+00     4.12568e-01
     3.05386e-02     6.78630e+02     1.36250e+03    -6.25342e-02     6.78616e+02     2.37565e+00     4.45666e-01
     3.19927e-02     6.52466e+02     1.30985e+03    -5.75675e-02     6.52531e+02     2.37007e+00     4.80511e-01
     3.35160e-02     6.25826e+02     1.25627e+03    -5.17926e-02     6.25962e+02     2.36404e+00     5.17078e-01
     3.51119e-02     5.99087e+02     1.20252e+03    -4.52102e-02     5.99281e+02     2.35750e+00     5.55330e-01
     3.67838e-02     5.72639e+02     1.14939e+03    -3.78205e-02     5.72878e+02     2.35044e+00     5.95232e-01
     3.85353e-02     5.46864e+02     1.09764e+03    -2.96159e-02     5.47137e+02     2.34281e+00     6.36753e-01
     4.03702e-02     5.22128e+02     1.04802e+03    -2.05746e-02     5.22422e+02     2.33457e+00     6.79870e-01
     4.22924e-02     4.98746e+02     1.00114e+03    -1.06479e-02     4.99050e+02     2.32569e+00     7.24585e-01
     4.43062e-02     4.76987e+02     9.57545e+02     2.47520e-04     4.77293e+02     2.31611e+00     7.70924e-01
     4.64159e-02     4.57026e+02     9.17576e+02     1.22424e-02     4.57328e+02     2.30580e+00     8.18949e-01
     4.86260e-02     4.38948e+02     8.81395e+02     2.55229e-02     4.39243e+02     2.29471e+00     8.68756e-01
