# Components of the (real space) Zeldovich power spectrum.
#              k             P_Z              b1              b2            b1^2            b2^2           b1.b2
     5.09414e-02     4.22708e+02     8.48903e+02     4.03314e-02     4.22998e+02     2.28279e+00     9.20476e-01
     5.33670e-02     4.08141e+02     8.19757e+02     5.69639e-02     4.08433e+02     2.27001e+00     9.74262e-01
     5.59081e-02     3.94930e+02     7.93307e+02     7.57526e-02     3.95235e+02     2.25630e+00     1.03027e+00
     5.85702e-02     3.82631e+02     7.68645e+02     9.70385e-02     3.82968e+02     2.24163e+00     1.08863e+00
     6.13591e-02     3.70669e+02     7.44614e+02     1.21128e-01     3.71061e+02     2.22594e+00     1.14939e+00
     6.42807e-02     3.58402e+02     7.19918e+02     1.48230e-01     3.58870e+02     2.20919e+00     1.21247e+00
     6.73415e-02     3.45179e+02     6.93250e+02     1.78390e-01     3.45748e+02     2.19133e+00     1.27761e+00
     7.05480e-02     3.30431e+02     6.63474e+02     2.11422e-01     3.31123e+02     2.17231e+00     1.34431e+00
     7.39072e-02     3.13817e+02     6.29933e+02     2.46852e-01     3.14640e+02     2.15211e+00     1.41179e+00
     7.74264e-02     2.95283e+02     5.92543e+02     2.83914e-01     2.96237e+02     2.13068e+00     1.47903e+00
     8.11131e-02     2.75145e+02     5.51972e+02     3.21581e-01     2.76215e+02     2.10800e+00     1.54481e+00
     8.49753e-02     2.54096e+02     5.09636e+02     3.58687e-01     2.55253e+02     2.08407e+00     1.60783e+00
     8.90215e-02     2.33127e+02     4.67551e+02     3.94107e-01     2.34333e+02     2.05889e+00     1.66698e+00
     9.32603e-02     2.13361e+02     4.27976e+02     4.27003e-01     2.14574e+02     2.03246e+00     1.72146e+00
     9.77010e-02     1.95804e+02     3.92909e+02     4.57064e-01     1.96987e+02     2.00481e+00     1.77106e+00
     1.02353e-01     1.81164e+02     3.63750e+02     4.84664e-01     1.82294e+02     1.97598e+00     1.81628e+00
     1.07227e-01     1.69661e+02     3.40890e+02     5.10885e-01     1.70733e+02     1.94600e+00     1.85826e+00
     1.12332e-01     1.60922e+02     3.23532e+02     5.37314e-01     1.61954e+02     1.91490e+00     1.89855e+00
     1.17681e-01     1.54029e+02     3.09788e+02     5.65620e-01     1.55056e+02     1.88270e+00     1.93866e+00
     1.23285e-01     1.47663e+02     2.96990e+02     5.96940e-01     1.48731e+02     1.84940e+00     1.97945e+00
     1.29155e-01     1.40463e+02     2.82414e+02     6.31264e-01     1.41616e+02     1.81500e+00     2.02061e+00
     1.35305e-01     1.31502e+02     2.64256e+02     6.67108e-01     1.32760e+02     1.77952e+00     2.06039e+00
     1.41747e-01     1.20745e+02     2.42526e+02     7.01760e-01     1.22093e+02     1.74297e+00     2.09596e+00
     1.48497e-01     1.09124e+02     2.19165e+02     7.32216e-01     1.10514e+02     1.70542e+00     2.12438e+00
     1.55568e-01     9.81397e+01     1.97205e+02     7.56524e-01     9.95154e+01     1.66698e+00     2.14391e+00
     1.62975e-01     8.91179e+01     1.79272e+02     7.74851e-01     9.04361e+01     1.62776e+00     2.15502e+00
     1.70735e-01     8.25640e+01     1.66294e+02     7.89580e-01     8.38184e+01     1.58789e+00     2.16033e+00
     1.78865e-01     7.79244e+01     1.57077e+02     8.04120e-01     7.91446e+01     1.54745e+00     2.16335e+00
     1.87382e-01     7.38676e+01     1.48910e+02     8.20826e-01     7.51033e+01     1.50649e+00     2.16641e+00
     1.96304e-01     6.90529e+01     1.39138e+02     8.39246e-01     7.03389e+01     1.46503e+00     2.16896e+00
     2.05651e-01     6.30568e+01     1.27008e+02     8.56169e-01     6.43860e+01     1.42311e+00     2.16779e+00
     2.15443e-01     5.66595e+01     1.14169e+02     8.67943e-01     5.79879e+01     1.38085e+00     2.15936e+00
     2.25702e-01     5.11229e+01     1.03147e+02     8.73492e-01     5.24069e+01     1.33839e+00     2.14278e+00
     2.36449e-01     4.70657e+01     9.50976e+01     8.75269e-01     4.82977e+01     1.29587e+00     2.12073e+00
     2.47708e-01     4.39895e+01     8.89442e+01     8.76872e-01     4.51979e+01     1.25337e+00     2.09697e+00
     2.59502e-01     4.08588e+01     8.26055e+01     8.79402e-01     4.20749e+01     1.21092e+00     2.07277e+00
     2.71859e-01     3.72003e+01     7.52113e+01     8.80458e-01     3.84216e+01     1.16859e+00     2.04584e+00
     2.84804e-01     3.35307e+01     6.78596e+01     8.77261e-01     3.47269e+01     1.12648e+00     2.01350e+00
     2.98365e-01     3.05449e+01     6.19110e+01     8.70202e-01     3.16983e+01     1.08472e+00     1.97622e+00
     3.12572e-01     2.81951e+01     5.72034e+01     8.61989e-01     2.93181e+01     1.04340e+00     1.93687e+00
     3.27455e-01     2.59078e+01     5.25798e+01     8.53654e-01     2.70175e+01     1.00255e+00     1.89674e+00
     3.43047e-01     2.34941e+01     4.77152e+01     8.43513e-01     2.45839e+01     9.62227e-01     1.85429e+00
     3.59381e-01     2.13057e+01     4.33329e+01     8.30540e-01     2.23604e+01     9.22543e-01     1.80856e+00
     3.76494e-01     1.94948e+01     3.96989e+01     8.16064e-01     2.05163e+01     8.83568e-01     1.76095e+00
     3.94421e-01     1.78091e+01     3.62945e+01     8.01033e-01     1.88059e+01     8.45331e-01     1.71262e+00
     4.13201e-01     1.61529e+01     3.29570e+01     7.84663e-01     1.71211e+01     8.07889e-01     1.66295e+00
     4.32876e-01     1.46800e+01     2.99963e+01     7.66749e-01     1.56144e+01     7.71309e-01     1.61176e+00
     4.53488e-01     1.33766e+01     2.73664e+01     7.48097e-01     1.42806e+01     7.35627e-01     1.55998e+00
     4.75081e-01     1.21442e+01     2.48766e+01     7.28739e-01     1.30183e+01     7.00873e-01     1.50778e+00
     4.97702e-01     1.10210e+01     2.26109e+01     7.08482e-01     1.18628e+01     6.67091e-01     1.45504e+00
     5.21401e-01     1.00130e+01     2.05732e+01     6.87704e-01     1.08238e+01     6.34304e-01     1.40221e+00
     5.46228e-01     9.08053e+00     1.86864e+01     6.66491e-01     9.86059e+00     6.02532e-01     1.34947e+00
     5.72237e-01     8.23480e+00     1.69747e+01     6.44861e-01     8.98368e+00     5.71798e-01     1.29690e+00
     5.99484e-01     7.46602e+00     1.54159e+01     6.23009e-01     8.18457e+00     5.42111e-01     1.24477e+00
     6.28029e-01     6.76386e+00     1.39913e+01     6.00991e-01     7.45226e+00     5.13481e-01     1.19317e+00
     6.57933e-01     6.12674e+00     1.26972e+01     5.78903e-01     6.78546e+00     4.85911e-01     1.14226e+00
     6.89261e-01     5.54777e+00     1.15197e+01     5.56864e-01     6.17742e+00     4.59402e-01     1.09220e+00
     7.22081e-01     5.02149e+00     1.04480e+01     5.34949e-01     5.62269e+00     4.33949e-01     1.04309e+00
     7.56463e-01     4.54361e+00     9.47354e+00     5.13221e-01     5.11701e+00     4.09545e-01     9.95022e-01
     7.92483e-01     4.10994e+00     8.58801e+00     4.91752e-01     4.65627e+00     3.86178e-01     9.48094e-01
     8.30218e-01     3.71657e+00     7.78362e+00     4.70604e-01     4.23654e+00     3.63833e-01     9.02384e-01
     8.69749e-01     3.35990e+00     7.05319e+00     4.49828e-01     3.85432e+00     3.42495e-01     8.57951e-01
     9.11163e-01     3.03670e+00     6.39019e+00     4.29474e-01     3.50636e+00     3.22144e-01     8.14850e-01
     9.54548e-01     2.74394e+00     5.78860e+00     4.09584e-01     3.18967e+00     3.02760e-01     7.73127e-01
     1.00000e+00     2.47885e+00     5.24290e+00     3.90195e-01     2.90149e+00     2.84318e-01     7.32814e-01
