# Components of the (real space) Zeldovich power spectrum.
#              k             P_Z              b1              b2            b1^2            b2^2           b1.b2
     1.00000e-02     1.05836e+03     2.12969e+03    -6.59088e-02     1.05613e+03     4.43530e+00     9.38650e-02
     1.04762e-02     1.07673e+03     2.16655e+03    -7.05471e-02     1.07451e+03     4.43395e+00     1.03292e-01
     1.09750e-02     1.09395e+03     2.20106e+03    -7.53626e-02     1.09174e+03     4.43248e+00     1.13659e-01
     1.14976e-02     1.10986e+03     2.23294e+03    -8.03357e-02     1.10768e+03     4.43087e+00     1.25054e-01
     1.20450e-02     1.12433e+03     2.26190e+03    -8.54408e-02     1.12216e+03     4.42912e+00     1.37573e-01
     1.26186e-02     1.13717e+03     2.28758e+03    -9.06463e-02     1.13505e+03     4.42721e+00     1.51318e-01
     1.32194e-02     1.14825e+03     2.30972e+03    -9.59136e-02     1.14618e+03     4.42513e+00     1.66399e-01
     1.38489e-02     1.15741e+03     2.32797e+03    -1.01196e-01     1.15540e+03     4.42286e+00     1.82931e-01
     1.45083e-02     1.16450e+03     2.34204e+03    -1.06440e-01     1.16255e+03     4.42038e+00     2.01039e-01
     1.51991e-02     1.16935e+03     2.35163e+03    -1.11582e-01     1.16748e+03     4.41768e+00     2.20850e-01
     1.59228e-02     1.17182e+03     2.35637e+03    -1.16552e-01     1.17004e+03     4.41474e+00     2.42500e-01
     1.66810e-02     1.17172e+03     2.35597e+03    -1.21270e-01     1.17004e+03     4.41153e+00     2.66127e-01
     1.74753e-02     1.16897e+03     2.35021e+03    -1.25647e-01     1.16738e+03     4.40805e+00     2.91874e-01
     1.83074e-02     1.16343e+03     2.33883e+03    -1.29588e-01     1.16196e+03     4.40425e+00     3.19884e-01
     1.91791e-02     1.15501e+03     2.32167e+03    -1.32990e-01     1.15366e+03     4.40012e+00     3.50301e-01
     2.00923e-02     1.14362e+03     2.29854e+03    -1.35746e-01     1.14240e+03     4.39563e+00     3.83265e-01
     2.10490e-02     1.12923e+03     2.26936e+03    -1.37744e-01     1.12815e+03     4.39074e+00     4.18912e-01
     2.20513e-02     1.11185e+03     2.23417e+03    -1.38872e-01     1.11091e+03     4.38543e+00     4.57369e-01
     2.31013e-02     1.09152e+03     2.19304e+03    -1.39018e-01     1.09072e+03     4.37966e+00     4.98752e-01
     2.42013e-02     1.06831e+03     2.14615e+03    -1.38078e-01     1.06767e+03     4.37340e+00     5.43161e-01
     2.53536e-02     1.04236e+03     2.09377e+03    -1.35951e-01     1.04187e+03     4.36660e+00     5.90680e-01
     2.65609e-02     1.01389e+03     2.03633e+03    -1.32552e-01     1.01354e+03     4.35921e+00     6.41372e-01
     2.78256e-02     9.83166e+02     1.97439e+03    -1.27806e-01     9.82965e+02     4.35120e+00     6.95274e-01
     2.91505e-02     9.50496e+02     1.90857e+03    -1.21658e-01     9.50433e+02     4.34252e+00     7.52403e-01
     3.05386e-02     9.16274e+02     1.83966e+03    -1.14068e-01     9.16340e+02     4.33310e+00     8.12749e-01
     3.19927e-02     8.80929e+02     1.76853e+03    -1.05015e-01     8.81111e+02     4.32290e+00     8.76278e-01
     3.35160e-02     8.44940e+02     1.69616e+03    -9.44888e-02     8.45225e+02     4.31186e+00     9.42941e-01
     3.51119e-02     8.08819e+02     1.62355e+03    -8.24919e-02     8.09193e+02     4.29991e+00     1.01267e+00
     3.67838e-02     7.73091e+02     1.55179e+03    -6.90248e-02     7.73535e+02     4.28700e+00     1.08541e+00
     3.85353e-02     7.38273e+02     1.48189e+03    -5.40740e-02     7.38774e+02     4.27304e+00     1.16109e+00
     4.03702e-02     7.04860e+02     1.41486e+03    -3.75999e-02     7.05400e+02     4.25797e+00     1.23968e+00
     4.22924e-02     6.73273e+02     1.35154e+03    -1.95146e-02     6.73838e+02     4.24171e+00     1.32117e+00
     4.43062e-02     6.43878e+02     1.29265e+03     3.33426e-04     6.44458e+02     4.22420e+00     1.40561e+00
     4.64159e-02     6.16913e+02     1.23866e+03     2.21820e-02     6.17499e+02     4.20534e+00     1.49312e+00
     4.86260e-02     5.92488e+02     1.18979e+03     4.63696e-02     5.93077e+02     4.18506e+00     1.58387e+00
     5.09414e-02     5.70543e+02     1.14589e+03     7.33370e-02     5.71139e+02     4.16327e+00     1.67809e+00
