# Components of the (real space) Zeldovich power spectrum.
#              k             P_Z              b1              b2            b1^2            b2^2           b1.b2
     3.67838e-02     3.03426e+03     6.09285e+03    -1.07934e+00     3.04143e+03     6.65640e+01     1.68108e+01
     3.85353e-02     2.89670e+03     5.81694e+03    -8.49576e-01     2.90455e+03     6.63404e+01     1.79773e+01
     4.03702e-02     2.76469e+03     5.55235e+03    -5.96689e-01     2.77317e+03     6.60989e+01     1.91876e+01
     4.22924e-02     2.63987e+03     5.30239e+03    -3.19394e-01     2.64895e+03     6.58385e+01     2.04416e+01
     4.43062e-02     2.52368e+03     5.06988e+03    -1.54434e-02     2.53334e+03     6.55579e+01     2.17398e+01
     4.64159e-02     2.41702e+03     4.85659e+03     3.18723e-01     2.42725e+03     6.52559e+01     2.30838e+01
     4.86260e-02     2.32030e+03     4.66335e+03     6.88194e-01     2.33112e+03     6.49311e+01     2.44759e+01
     5.09414e-02     2.23329e+03     4.48957e+03     1.09959e+00     2.24472e+03     6.45822e+01     2.59197e+01
     5.33670e-02     2.15507e+03     4.33343e+03     1.56100e+00     2.16720e+03     6.42078e+01     2.74190e+01
     5.59081e-02     2.08398e+03     4.19146e+03     2.08144e+00     2.09690e+03     6.38067e+01     2.89779e+01
     5.85702e-02     2.01765e+03     4.05890e+03     2.67010e+00     2.03151e+03     6.33774e+01     3.05994e+01
     6.13591e-02     1.95309e+03     3.92967e+03     3.33511e+00     1.96804e+03     6.29185e+01     3.22845e+01
     6.42807e-02     1.88692e+03     3.79697e+03     4.08178e+00     1.90312e+03     6.24287e+01     3.40305e+01
     6.73415e-02     1.81579e+03     3.65407e+03     4.91086e+00     1.83340e+03     6.19067e+01     3.58292e+01
     7.05480e-02     1.73679e+03     3.49517e+03     5.81647e+00     1.75596e+03     6.13514e+01     3.76662e+01
     7.39072e-02     1.64819e+03     3.31695e+03     6.78497e+00     1.66898e+03     6.07616e+01     3.95194e+01
     7.74264e-02     1.54983e+03     3.11918e+03     7.79456e+00     1.57222e+03     6.01365e+01     4.13597e+01
     8.11131e-02     1.44342e+03     2.90546e+03     8.81657e+00     1.46732e+03     5.94755e+01     4.31532e+01
     8.49753e-02     1.33262e+03     2.68324e+03     9.81871e+00     1.35783e+03     5.87784e+01     4.48646e+01
     8.90215e-02     1.22259e+03     2.46298e+03     1.07702e+01     1.24884e+03     5.80452e+01     4.64627e+01
     9.32603e-02     1.11909e+03     2.25624e+03     1.16486e+01     1.14609e+03     5.72765e+01     4.79268e+01
     9.77010e-02     1.02720e+03     2.07312e+03     1.24459e+01     1.05469e+03     5.64729e+01     4.92520e+01
     1.02353e-01     9.50397e+02     1.92048e+03     1.31729e+01     9.78189e+02     5.56356e+01     5.04519e+01
     1.07227e-01     8.89639e+02     1.80003e+03     1.38590e+01     9.17670e+02     5.47654e+01     5.15578e+01
     1.12332e-01     8.42890e+02     1.70744e+03     1.45467e+01     8.71227e+02     5.38634e+01     5.26112e+01
     1.17681e-01     8.05399e+02     1.63300e+03     1.52796e+01     8.34231e+02     5.29302e+01     5.36515e+01
     1.23285e-01     7.70544e+02     1.56333e+03     1.60865e+01     8.00129e+02     5.19660e+01     5.47002e+01
     1.29155e-01     7.31644e+02     1.48507e+03     1.69649e+01     7.62203e+02     5.09712e+01     5.57470e+01
     1.35305e-01     6.84321e+02     1.38970e+03     1.78745e+01     7.15928e+02     4.99462e+01     5.67447e+01
     1.41747e-01     6.28627e+02     1.27766e+03     1.87441e+01     6.61142e+02     4.88920e+01     5.76192e+01
     1.48497e-01     5.69261e+02     1.15869e+03     1.94973e+01     6.02339e+02     4.78106e+01     5.82964e+01
     1.55568e-01     5.13460e+02     1.04734e+03     2.00869e+01     5.46694e+02     4.67051e+01     5.87351e+01
     1.62975e-01     4.67364e+02     9.55776e+02     2.05203e+01     5.00435e+02     4.55789e+01     5.89507e+01
     1.70735e-01     4.33078e+02     8.87844e+02     2.08593e+01     4.65884e+02     4.44355e+01     5.90117e+01
     1.78865e-01     4.07763e+02     8.37522e+02     2.11877e+01     4.40423e+02     4.32772e+01     5.90049e+01
     1.87382e-01     3.85209e+02     7.92218e+02     2.15604e+01     4.17957e+02     4.21056e+01     5.89844e+01
     1.96304e-01     3.59477e+02     7.40202e+02     2.19632e+01     3.92462e+02     4.09218e+01     5.89346e+01
     2.05651e-01     3.28941e+02     6.78585e+02     2.23194e+01     3.62071e+02     3.97274e+01     5.87786e+01
     2.15443e-01     2.97187e+02     6.14866e+02     2.25466e+01     3.30167e+02     3.85257e+01     5.84374e+01
     2.25702e-01     2.69560e+02     5.59706e+02     2.26251e+01     3.02100e+02     3.73205e+01     5.78973e+01
     2.36449e-01     2.48409e+02     5.17485e+02     2.26132e+01     2.80414e+02     3.61157e+01     5.72221e+01
     2.47708e-01     2.31468e+02     4.83406e+02     2.25885e+01     2.63038e+02     3.49134e+01     5.64945e+01
     2.59502e-01     2.14596e+02     4.49184e+02     2.25717e+01     2.45847e+02     3.37151e+01     5.57389e+01
     2.71859e-01     1.96114e+02     4.11736e+02     2.25121e+01     2.26997e+02     3.25227e+01     5.49081e+01
     2.84804e-01     1.78062e+02     3.75331e+02     2.23575e+01     2.08395e+02     3.13392e+01     5.39524e+01
     2.98365e-01     1.62862e+02     3.44702e+02     2.21195e+01     1.92528e+02     3.01678e+01     5.28870e+01
     3.12572e-01     1.50185e+02     3.18992e+02     2.18498e+01     1.79205e+02     2.90107e+01     5.17680e+01
     3.27455e-01     1.38069e+02     2.94274e+02     2.15657e+01     1.66487e+02     2.78692e+01     5.06183e+01
     3.43047e-01     1.25971e+02     2.69616e+02     2.12391e+01     1.53738e+02     2.67452e+01     4.94135e+01
     3.59381e-01     1.14960e+02     2.47192e+02     2.08563e+01     1.41996e+02     2.56410e+01     4.81424e+01
     3.76494e-01     1.05388e+02     2.27607e+02     2.04401e+01     1.31679e+02     2.45585e+01     4.68306e+01
     3.94421e-01     9.65203e+01     2.09375e+02     2.00048e+01     1.22081e+02     2.34988e+01     4.54971e+01
     4.13201e-01     8.81163e+01     1.92080e+02     1.95411e+01     1.12922e+02     2.24632e+01     4.41360e+01
     4.32876e-01     8.05114e+01     1.76394e+02     1.90488e+01     1.04538e+02     2.14533e+01     4.27492e+01
     4.53488e-01     7.36282e+01     1.62128e+02     1.85390e+01     9.68771e+01     2.04698e+01     4.13506e+01
     4.75081e-01     6.72434e+01     1.48854e+02     1.80134e+01     8.97130e+01     1.95137e+01     3.99451e+01
     4.97702e-01     6.14017e+01     1.36671e+02     1.74723e+01     8.30853e+01     1.85858e+01     3.85350e+01
     5.21401e-01     5.60795e+01     1.25524e+02     1.69207e+01     7.69806e+01     1.76865e+01     3.71273e+01
     5.46228e-01     5.11910e+01     1.15245e+02     1.63611e+01     7.13139e+01     1.68165e+01     3.57266e+01
     5.72237e-01     4.67238e+01     1.05813e+02     1.57952e+01     6.60733e+01     1.59758e+01     3.43363e+01
     5.99484e-01     4.26397e+01     9.71497e+01     1.52259e+01     6.12246e+01     1.51648e+01     3.29610e+01
     6.28029e-01     3.89031e+01     8.91876e+01     1.46553e+01     5.67330e+01     1.43835e+01     3.16038e+01
     6.57933e-01     3.54888e+01     8.18768e+01     1.40854e+01     5.25750e+01     1.36318e+01     3.02679e+01
     6.89261e-01     3.23682e+01     7.51611e+01     1.35181e+01     4.87238e+01     1.29094e+01     2.89563e+01
     7.22081e-01     2.95163e+01     6.89911e+01     1.29550e+01     4.51553e+01     1.22162e+01     2.76713e+01
     7.56463e-01     2.69104e+01     6.33222e+01     1.23976e+01     4.18479e+01     1.15518e+01     2.64149e+01
     7.92483e-01     2.45295e+01     5.81131e+01     1.18473e+01     3.87813e+01     1.09156e+01     2.51888e+01
     8.30218e-01     2.23542e+01     5.33261e+01     1.13051e+01     3.59371e+01     1.03073e+01     2.39947e+01
     8.69749e-01     2.03669e+01     4.89260e+01     1.07722e+01     3.32981e+01     9.72615e+00     2.28335e+01
     9.11163e-01     1.85514e+01     4.48806e+01     1.02493e+01     3.08486e+01     9.17159e+00     2.17063e+01
     9.54548e-01     1.68928e+01     4.11607e+01     9.73735e+00     2.85740e+01     8.64292e+00     2.06137e+01
     1.00000e+00     1.53776e+01     3.77393e+01     9.23696e+00     2.64610e+01     8.13942e+00     1.95562e+01
