# Components of the (real space) Zeldovich power spectrum.
#              k             P_Z              b1              b2            b1^2            b2^2           b1.b2
     1.00000e-02     4.17090e+03     8.39293e+03    -1.02419e+00     4.16225e+03     6.89395e+01     1.45870e+00
     1.04762e-02     4.24314e+03     8.53783e+03    -1.09624e+00     4.23454e+03     6.89179e+01     1.60516e+00
     1.09750e-02     4.31079e+03     8.67344e+03    -1.17103e+00     4.30227e+03     6.88944e+01     1.76621e+00
     1.14976e-02     4.37324e+03     8.79861e+03    -1.24826e+00     4.36487e+03     6.88688e+01     1.94322e+00
     1.20450e-02     4.43000e+03     8.91221e+03    -1.32753e+00     4.42177e+03     6.88407e+01     2.13767e+00
     1.26186e-02     4.48034e+03     9.01291e+03    -1.40836e+00     4.47234e+03     6.88102e+01     2.35115e+00
     1.32194e-02     4.52374e+03     9.09956e+03    -1.49013e+00     4.51596e+03     6.87768e+01     2.58535e+00
     1.38489e-02     4.55948e+03     9.17081e+03    -1.57213e+00     4.55200e+03     6.87405e+01     2.84208e+00
     1.45083e-02     4.58703e+03     9.22553e+03    -1.65352e+00     4.57989e+03     6.87008e+01     3.12323e+00
     1.51991e-02     4.60578e+03     9.26252e+03    -1.73332e+00     4.59903e+03     6.86576e+01     3.43080e+00
     1.59228e-02     4.61507e+03     9.28045e+03    -1.81044e+00     4.60874e+03     6.86105e+01     3.76687e+00
     1.66810e-02     4.61425e+03     9.27798e+03    -1.88362e+00     4.60839e+03     6.85592e+01     4.13359e+00
     1.74753e-02     4.60289e+03     9.25431e+03    -1.95150e+00     4.59757e+03     6.85034e+01     4.53314e+00
     1.83074e-02     4.58054e+03     9.20848e+03    -2.01261e+00     4.57581e+03     6.84426e+01     4.96774e+00
     1.91791e-02     4.54683e+03     9.13984e+03    -2.06534e+00     4.54273e+03     6.83765e+01     5.43960e+00
     2.00923e-02     4.50139e+03     9.04758e+03    -2.10805e+00     4.49795e+03     6.83046e+01     5.95086e+00
     2.10490e-02     4.44409e+03     8.93147e+03    -2.13900e+00     4.44138e+03     6.82263e+01     6.50361e+00
     2.20513e-02     4.37500e+03     8.79170e+03    -2.15645e+00     4.37306e+03     6.81413e+01     7.09978e+00
     2.31013e-02     4.29427e+03     8.62854e+03    -2.15871e+00     4.29312e+03     6.80489e+01     7.74113e+00
     2.42013e-02     4.20219e+03     8.44261e+03    -2.14413e+00     4.20189e+03     6.79485e+01     8.42919e+00
     2.53536e-02     4.09934e+03     8.23511e+03    -2.11123e+00     4.09989e+03     6.78395e+01     9.16517e+00
     2.65609e-02     3.98656e+03     8.00774e+03    -2.05864e+00     3.98798e+03     6.77212e+01     9.95000e+00
     2.78256e-02     3.86491e+03     7.76265e+03    -1.98529e+00     3.86720e+03     6.75929e+01     1.07842e+01
     2.91505e-02     3.73561e+03     7.50231e+03    -1.89032e+00     3.73878e+03     6.74537e+01     1.16680e+01
     3.05386e-02     3.60024e+03     7.22990e+03    -1.77315e+00     3.60427e+03     6.73028e+01     1.26010e+01
     3.19927e-02     3.46046e+03     6.94881e+03    -1.63349e+00     3.46532e+03     6.71394e+01     1.35828e+01
     3.35160e-02     3.31819e+03     6.66290e+03    -1.47125e+00     3.32386e+03     6.69625e+01     1.46124e+01
     3.51119e-02     3.17544e+03     6.37619e+03    -1.28651e+00     3.18188e+03     6.67710e+01     1.56888e+01
